word,mean_gradient,count
get,0.9699694762033081,3
not,0.9387390785761909,4
were,0.8247436945700125,3
doesn,0.7662800236066687,3
her,0.6152159044129804,5
they,0.4574251048588849,4
with,0.3694877677092639,3
did,0.3677201997816155,3
but,0.36142714728574293,6
was,0.32826247834357974,3
out,0.30091944482668015,6
don,0.297842020402489,6
and,0.29290792683369704,17
want,0.2879798365427935,6
his,0.2560960185928707,3
the,0.19509461034671302,18
can,0.1923533662684349,6
know,0.1525145692624695,3
too,0.12686954878608958,4
mean,0.125986468580777,4
